Arrival Time,Train Up or Down
7:43:00 PM,1
8:00:00 PM,1
8:06:00 PM,1
8:06:00 PM,1
8:10:00 PM,1
8:18:00 PM,1
8:30:00 PM,1
8:40:00 PM,1
8:56:00 PM,1
8:59:00 PM,1
9:13:00 PM,1
9:16:00 PM,1
9:20:00 PM,1
9:25:00 PM,1
9:28:00 PM,1
9:32:00 PM,1
9:37:00 PM,1
9:39:00 PM,1
9:40:00 PM,1
9:45:00 PM,1
9:49:00 PM,1
6:50:00 PM,1
7:56:00 PM,1
8:09:00 PM,1
8:21:00 PM,1
8:31:00 PM,1
8:36:00 PM,1
8:45:00 PM,1
8:51:00 PM,1
8:55:00 PM,1
8:59:00 PM,1
9:05:00 PM,1
9:10:00 PM,1
9:16:00 PM,1
9:23:00 PM,1
9:29:00 PM,1
9:34:00 PM,1
9:40:00 PM,1
9:44:00 PM,1
9:48:00 PM,1
9:52:00 PM,1
9:56:00 PM,1
10:00:00 PM,1
10:04:00 PM,1
10:07:00 PM,1
10:14:00 PM,1
10:19:00 PM,1
10:22:00 PM,1
10:29:00 PM,1
10:39:00 PM,1
10:46:00 PM,1
10:50:00 PM,1
10:58:00 PM,1
4:47:00 AM,0
4:55:00 AM,0
5:05:00 AM,0
5:15:00 AM,0
5:23:00 AM,0
5:27:00 AM,0
5:33:00 AM,0
5:36:00 AM,0
5:43:00 AM,0
6:02:00 AM,0
6:13:00 AM,0
6:25:00 AM,0
6:35:00 AM,0
6:53:00 AM,0
7:10:00 AM,0
7:27:00 AM,0
7:37:00 AM,0
7:51:00 AM,0
7:59:00 AM,0
8:03:00 AM,0
8:05:00 AM,0
8:17:00 AM,0
5:04:00 AM,0
5:07:00 AM,0
5:10:00 AM,0
5:14:00 AM,0
5:18:00 AM,0
5:21:00 AM,0
5:24:00 AM,0
5:28:00 AM,0
5:32:00 AM,0
5:36:00 AM,0
5:39:00 AM,0
5:43:00 AM,0
5:46:00 AM,0
5:50:00 AM,0
5:54:00 AM,0
5:57:00 AM,0
6:01:00 AM,0
6:04:00 AM,0
6:07:00 AM,0
6:10:00 AM,0
6:13:00 AM,0
6:16:00 AM,0
6:21:00 AM,0
6:25:00 AM,0
6:30:00 AM,0
6:33:00 AM,0
6:40:00 AM,0
6:46:00 AM,0
6:55:00 AM,0
7:01:00 AM,0
7:09:00 AM,0
7:13:00 AM,0
7:28:00 AM,0
7:31:00 AM,0
7:48:00 AM,0
7:48:00 AM,0
7:50:00 AM,0
7:51:00 AM,0
7:54:00 AM,0
7:54:00 AM,0
6:20:00 AM,0
6:30:00 AM,0
6:38:00 AM,0
6:53:00 AM,0
7:11:00 AM,0
7:22:00 AM,0
7:46:00 AM,0
7:46:00 AM,0
8:19:00 AM,0
8:43:00 AM,0
8:49:00 AM,0
